,skills_clean,education,experience_years,job_role
1143,"('executive communication', 'ios', 'vision', 'jira', 'digital transformation', 'strategic leadership', 'adobe creative suite', 'brand management', 'market intelligence', 'business development')",MBA,9,CMO
1144,"('vue.js', 'patience', 'problem solving', 'product knowledge', 'jira', 'decision making', 'mobile ui/ux', 'attention to detail', 'customer service', 'communication', 'strategic planning')",High School,3,Customer Service Representative
1145,"('vue.js', 'problem solving', 'ggplot2', 'statistical analysis', 'graphic design', 'redis', 'data visualization', 'security architecture', 'tidyverse', 'r', 'data analysis')",Bachelor's in Statistics,0,R Programmer
1146,"('team work', 'customer service', 'bartending', 'postgresql', 'memory', 'jira', 'communication', 'scala', 'mysql', 'problem solving')",Bartending Certification,4,Bartender
1147,"('communication', 'writing', 'policy analysis', 'sales', 'data analysis', 'government knowledge', 'rust', 'research', 'jenkins', 'machine learning')",Bachelor's in Political Science,2,Government Analyst
1148,"('css', 'product strategy', 'positioning', 'campaign management', 'machine learning', 'analytics', 'market research', 'messaging')",Bachelor's in Business,1,Product Marketing Manager
1149,"('safety', 'equipment', 'hvac systems', 'go', 'technical knowledge', 'network security', 'sql', 'adobe creative suite', 'problem solving', 'ios', 'troubleshooting')",Trade School,3,HVAC Technician
1150,"('team leadership', 'project management', 'budget control', 'timeline management', 'flask', 'r', 'risk management', 'communication')",Bachelor's in Business,3,Project Manager
1151,"('pytorch', 'legal knowledge', 'attention to detail', 'node.js', 'organization', 'compliance', 'legal research', 'serverless', 'document preparation', 'swift', 'communication')",Associate in Law,3,Paralegal
1152,"('training program design', 'motivation', 'technical writing', 'communication', 'athletic knowledge', 'query optimization', 'coaching', 'java', 'leadership', 'php')",Bachelor's in Physical Education,2,Coach
1153,"('legal expertise', 'decision making', 'leadership', 'ethics', 'php', 'time management', 'flask', 'mentoring', 'communication', 'fairness', 'css')",Judicial Appointment,10,Judge
1154,"('customer service', 'app testing', 'go', 'precision', 'web design', 'sanitation', 'artistry', 'communication', 'rust', 'web accessibility', 'nail care')",Beauty School,1,Nail Technician
1155,"('mobile development', 'kotlin', 'android development', 'nosql', 'java interop', 'problem solving', 'coroutines', 'javascript')",Bachelor's in Computer Science,0,Kotlin Developer
1156,"('farming', 'problem solving', 'safety', 'php', 'equipment operation', 'sustainability', 'swift', 'kanban', 'rust', 'business management')",High School,3,Farmer
1157,"('leadership', 'backlog management', 'pytorch', 'agile', 'swift', 'communication', 'docker', 'business acumen', 'statistics', 'responsive design', 'product strategy')",Bachelor's in Business,2,Product Owner
1158,"('medical knowledge', 'patient care', 'django', 'critical thinking', 'attention to detail', 'jenkins', 'communication', 'compassion', 'kubernetes')",RN License,2,Nurse
1159,"('analysis', 'gcp', 'communication', 'problem solving', 'writing', 'prototyping', 'azure', 'database design', 'attention to detail', 'legal research')",Juris Doctor,3,Law Clerk
1160,"('team management', 'nosql', 'design knowledge', 'creative vision', 'leadership', 'communication', 'strategic thinking', 'ci/cd')",Bachelor's in Design,4,Creative Director
1161,"('security protocols', 'user research', 'data analysis', 'communication', 'report writing', 'research methodology', 'problem solving', 'jupyter', 'gcp', 'html')",Master's in Research,5,Product Researcher
1162,"('mongodb', 'jira', 'tax law', 'risk assessment', 'firewalls', 'accounting', 'software', 'compliance', 'tax planning', 'irs knowledge')",Bachelor's in Accounting,1,Tax Specialist
1163,"('perl', 'sql', 'business development', 'firewalls', 'django', 'python', 'rest api', 'flask', 'pandas', 'wireframing', 'problem solving')",Bachelor's in Computer Science,3,Python Developer
1164,"('java', 'product strategy', 'nosql', 'communication', 'leadership', 'data analysis', 'market analysis', 'graphql', 'cassandra', 'decision making', 'user research')",Master's in Business,6,Product Manager
1165,"('jupyter', 'research', 'excel', 'communication', 'valuation', 'mobile ui/ux', 'graphic design', 'm&a', 'financial modeling', 'serverless')",Bachelor's in Finance,2,Investment Banking Analyst
1166,"('budget management', 'problem solving', 'communication', 'flutter', 'organization', 'microservices', 'pandas', 'event planning', 'vendor management')",Associate in Event Planning,2,Event Coordinator
1167,"('xml', 'kotlin', 'java', 'mobile design', 'teamwork', 'rest api', 'scrum', 'oracle', 'android sdk', 'wireframing', 'prototyping')",Bachelor's in Computer Science,5,Mobile Developer Android
1168,"('problem solving', 'java', 'web design', 'test automation', 'selenium', 'manual testing', 'api testing', 'query optimization', 'security protocols', 'documentation')",Bachelor's in Computer Science,3,Software Test Engineer
1169,"('jupyter', 'policy analysis', 'rust', 'government knowledge', 'critical thinking', 'sales', 'cloudformation', 'communication', 'writing', 'data analysis', 'research')",Bachelor's in Political Science,2,Government Analyst
1170,"('app testing', 'market research', 'numpy', 'campaign management', 'analytics', 'positioning', 'messaging', 'product strategy')",Bachelor's in Business,4,Product Marketing Manager
1171,"('mobile ui/ux', 'plumbing systems', 'technical knowledge', 'customer service', 'code knowledge', 'safety', 'figma', 'problem solving', 'statistics', 'risk assessment', 'time management')",Trade School,2,Plumber
1172,"('vue.js', 'rust', 'reporting', 'php', 'power bi', 'excel', 'data analysis', 'r', 'flask', 'sql', 'tableau')",Bachelor's in Business,4,BI Analyst
1173,"('tableau', 'mysql', 'javascript', 'theme development', 'kotlin', 'module development', 'django', 'php', 'drupal', 'flutter')",Bachelor's in Computer Science,5,Drupal Developer
1174,"('safety', 'judgment', 'communication', 'physical fitness', 'vue.js', 'adobe creative suite', 'graphic design', 'law enforcement', 'mobile security', 'r', 'problem solving')",High School,1,Police Officer
1175,"('aerodynamics', 'flask', 'matlab', 'structural analysis', 'physics', 'design', 'query optimization', 'cad')",Bachelor's in Aerospace Engineering,2,Aerospace Engineer
1176,"('financial analysis', 'hdfs', 'big data', 'distributed computing', 'java', 'negotiation', 'hadoop', 'mapreduce')",Bachelor's in Computer Science,2,Hadoop Developer
1177,"('leadership', 'organization', 'administrative skills', 'problem solving', 'rust', 'communication', 'encryption', 'office management', 'django')",Leadership Experience,3,Office Manager
1178,"('technical skills', 'cloudformation', 'precision', 'c++', 'creativity', 'customer service', 'hair styling', 'communication')",License,2,Hairstylist
1179,"('adobe creative suite', 'ansible', 'javascript', 'safety', 'go', 'ruby', 'communication', 'physical fitness', 'law enforcement', 'problem solving', 'judgment')",High School,4,Police Officer
1180,"('pcb design', 'database design', 'hardware design', 'circuit design', 'microcontrollers', 'marketing', 'embedded systems', 'scala', 'javascript', 'cad')",Bachelor's in Electronics Engineering,3,Electronics Engineer
1181,"('marketing', 'flying', 'technical knowledge', 'adaptability', 'statistics', 'safety', 'navigation', 'responsibility', 'decision making', 'business development')",Commercial Pilot License,3,Pilot
1182,"('deep learning', 'artificial intelligence', 'research', 'microservices', 'problem solving', 'python', 'nosql', 'ci/cd', 'tensorflow')",Master's in Machine Learning,3,AI/ML Specialist
1183,"('excel', 'compliance', 'tensorflow', 'jenkins', 'communication', 'benefits administration', 'android', 'rust', 'market analysis', 'compensation strategy')",Bachelor's in Finance,2,Compensation & Benefits Manager
1184,"('budget management', 'css', 'internal controls', 'compliance', 'project management', 'audit procedures', 'risk assessment', 'leadership', 'communication')",Bachelor's in Accounting,5,Audit Manager
1185,"('indexing', 'ci/cd', 'nosql', 'aggregation', 'firewalls', 'mongodb', 'json', 'javascript')",Bachelor's in Computer Science,4,MongoDB Developer
1186,"('technical skills', 'pandas', 'compliance', 'communication', 'project management', 'database design', 'problem solving', 'creativity', 'encryption', 'exhibition design', 'oracle')",Museum Studies,1,Exhibition Designer
1187,"('c/c++', 'deep learning', 'scikit-learn', 'sensors', 'system design', 'embedded systems', 'confluence', 'user interface', 'iot technology', 'networking')",Bachelor's in Computer Engineering,3,IoT Engineer
1188,"('stakeholder communication', 'pytorch', 'excel', 'seo', 'r', 'sql', 'machine learning', 'process improvement', 'requirements gathering', 'documentation')",Bachelor's in Business,5,Business Analyst
1189,"('safety', 'web design', 'cnc machines', 'precision', 'react native', 'problem solving', 'security protocols', 'attention to detail', 'technical knowledge')",Machinist Program,5,CNC Machinist
1190,"('technical knowledge', 'sustainability', 'analysis', 'prototyping', 'graphql', 'research', 'java', 'environmental science', 'problem solving', 'rest api')",Bachelor's in Environmental Science,4,Environmental Scientist
1191,"('safety', 'terraform', 'electrical work', 'technical knowledge', 'problem solving', 'ci/cd', 'code knowledge', 'redis', 'troubleshooting')",Apprenticeship,5,Electrician
1192,"('aerodynamics', 'matlab', 'confluence', 'flask', 'physics', 'gcp', 'design', 'cad', 'kubernetes', 'structural analysis', 'deep learning')",Bachelor's in Aerospace Engineering,4,Aerospace Engineer
1193,"('numerical analysis', 'kotlin', 'compliance', 'matlab', 'simulink', 'c#', 'mathematics', 'graphic design', 'signal processing', 'problem solving')",Bachelor's in Engineering,2,MATLAB Developer
1194,"('web design', 'microservices', 'angular', 'grant writing', 'communication', 'problem solving', 'organization', 'node.js', 'fundraising knowledge', 'research')",Grant Writing Certification,4,Grant Writer
1195,"('project management', 'content strategy', 'confluence', 'writing', 'research', 'seo', 'web accessibility', 'docker', 'terraform', 'financial analysis', 'analytics')",Bachelor's in Marketing,1,Content Marketing Manager
1196,"('ansible', 'color grading', 'video editing software', 'r', 'audio editing', 'attention to detail', 'creativity', 'storytelling', 'postgresql')",Certification,2,Video Editor
1197,"('analysis', 'policy expertise', 'communication', 'research', 'rest api', 'writing', 'javascript', 'strategic thinking')",Master's in Public Policy,2,Policy Advisor
1198,"('gdpr', 'strategic planning', 'privacy law', 'risk management', 'node.js', 'compliance', 'mysql', 'communication')",Privacy Certification,4,Privacy Officer
1199,"('hacking tools', 'problem solving', 'penetration testing', 'vulnerability research', 'networking', 'gcp', 'jira', 'security', 'figma', 'perl', 'php')",Bachelor's in Cybersecurity,2,Ethical Hacker
1200,"('communication', 'writing', 'ethics', 'terraform', 'ruby', 'legal knowledge', 'negotiation', 'research')",Juris Doctor,2,Lawyer
1201,"('distributed computing', 'kanban', 'machine learning', 'data analysis', 'big data', 'mapreduce', 'java', 'hadoop', 'hdfs', 'adobe creative suite')",Bachelor's in Computer Science,5,Hadoop Developer
1202,"('materials', 'problem solving', 'vehicle systems', 'presentation skills', 'cad', 'testing', 'statistics', 'thermal systems', 'teamwork')",Bachelor's in Automotive Engineering,2,Automotive Engineer
1203,"('problem solving', 'rest api', 'vulnerability research', 'react native', 'documentation', 'hacking tools', 'strategic planning', 'security', 'risk assessment', 'penetration testing', 'networking')",CEH Certification,4,Ethical Hacker
1204,"('javascript', 'laboratory analysis', 'safety', 'confluence', 'equipment maintenance', 'quality control', 'data analysis', 'attention to detail', 'compliance', 'pytorch')",Bachelor's in Clinical Laboratory Science,2,Clinical Lab Scientist
1205,"('team leadership', 'tableau', 'coaching', 'communication', 'time management', 'problem solving', 'mobile ui/ux', 'agile', 'mentoring', 'scrum')",Scrum Master Certification,3,Scrum Master
1206,"('problem solving', 'pl/sql', 'configuration', 'numpy', 'oracle apps', 'mobile security', 'sql', 'erp systems')",Oracle Certification,5,Oracle Applications Developer
1207,"('ansible', 'theme development', 'strategic planning', 'javascript', 'gcp', 'joomla', 'tensorflow', 'cms', 'php', 'mysql')",Bachelor's in Computer Science,3,Joomla Developer
1208,"('angular', 'app testing', 'communication', 'cassandra', 'time management', 'motivation', 'coaching', 'athletic knowledge', 'training program design', 'leadership')",Coaching Certification,3,Coach
1209,"('excel', 'app testing', 'financial analysis', 'forecasting', 'communication', 'budget planning', 'figma', 'attention to detail')",Bachelor's in Finance,0,Budget Analyst
1210,"('django', 'encryption', 'audio engineering', 'kanban', 'problem solving', 'precision', 'equipment knowledge', 'scrum', 'sound design', 'technical skills')",Associate in Audio Engineering,2,Sound Engineer
1211,"('unity', 'ar/vr platforms', 'problem solving', 'unreal engine', 'c#', 'azure', 'agile', '3d graphics', 'jenkins', 'critical thinking')",Specialized Training,4,AR/VR Developer
1212,"('editing software', 'vue.js', 'composition', 'creativity', 'lighting', 'client service', 'photography', 'budget management')",Portfolio,1,Photographer
1213,"('sql', 'accuracy', 'lab testing', 'quality control', 'web design', 'analysis', 'attention to detail', 'encryption', 'equipment operation', 'adobe creative suite')",Bachelor's in Medical Technology,3,Medical Technologist
1214,"('wordpress', 'javascript', 'django', 'theme development', 'php', 'network security', 'ios', 'plugin development', 'css')",WordPress Certification,4,WordPress Developer
1215,"('market research', 'redis', 'product strategy', 'terraform', 'campaign management', 'compliance', 'messaging', 'tensorflow', 'positioning', 'analytics')",Bachelor's in Marketing,2,Product Marketing Manager
1216,"('teamwork', 'c++', 'facial treatment', 'technical skills', 'skincare', 'customer service', 'product knowledge', 'communication')",Esthetics School,3,Esthetician
1217,"('hair styling', 'ios', 'technical skills', 'communication', 'adobe creative suite', 'precision', 'figma', 'python', 'customer service', 'terraform', 'creativity')",Beauty School,0,Hairstylist
1218,"('ios', 'security', 'troubleshooting', 'statistics', 'windows server', 'networking', 'active directory', 'html', 'linux')",IT Certification,3,Systems Administrator
1219,"('problem solving', 'surgical expertise', 'kanban', 'pytorch', 'patient care', 'mysql', 'oracle', 'research', 'precision', 'technical skills')",Surgical Specialty Training,7,Surgeon
1220,"('improvisation', 'penetration testing', 'azure', 'personality', 'communication', 'interviewing', 'public speaking', 'problem solving', 'compliance')",Broadcasting School,0,Radio Host
1221,"('team management', 'go', 'negotiation', 'business development', 'network security', 'communication', 'decision making', 'business acumen', 'sales leadership', 'real estate knowledge')",Bachelor's in Business,7,Real Estate Broker
1222,"('mobile development', 'java interop', 'rest api', 'coroutines', 'problem solving', 'typescript', 'kotlin', 'postgresql', 'android development')",Bachelor's in Computer Science,0,Kotlin Developer
1223,"('regulatory compliance', 'problem solving', 'clinical data', 'security architecture', 'statistical analysis', 'attention to detail', 'compliance', 'database management')",Master's in Data Management,4,Clinical Data Manager
1224,"('firewalls', 'python', 'research', 'tensorflow', 'deep learning', 'pytorch', 'sales', 'azure', 'statistics', 'query optimization')",Master's in AI,5,Machine Learning Engineer
1225,"('strategic planning', 'problem solving', 'documentation', 'jupyter', 'safety', 'equipment knowledge', 'troubleshooting', 'vehicle mechanics', 'attention to detail', 'figma')",Certification,5,Mechanic
1226,"('azure', 'structural analysis', 'cad', 'building codes', 'project management', 'compliance', 'technical design', 'autocad')",Bachelor's in Civil Engineering,5,Civil Engineer
1227,"('research', 'cassandra', 'market research', 'technical skills', 'patient care', 'scala', 'seo', 'surgical expertise', 'precision', 'problem solving')",Medical Degree,5,Surgeon
1228,"('terraform', 'communication', 'computer skills', 'friendliness', 'documentation', 'organization', 'customer service', 'phone skills', 'cassandra')",High School,3,Receptionist
1229,"('strategic planning', 'mobile ui/ux', 'kotlin', 'healthcare management', 'business development', 'budget control', 'communication', 'leadership', 'compliance')",Master's in Healthcare Administration,2,Healthcare Administrator
1230,"('tax law', 'graphql', 'communication', 'scala', 'writing', 'business acumen', 'planning', 'budget management', 'analytical skills', 'legal research')",Tax Law Specialization,6,Tax Attorney
1231,"('kanban', 'diesel engines', 'technical writing', 'problem solving', 'equipment knowledge', 'technical skills', 'troubleshooting', 'node.js', 'safety')",Diesel Certification,3,Diesel Mechanic
1232,"('problem solving', 'environmental knowledge', 'react native', 'public safety', 'market research', 'ruby', 'communication', 'python', 'conservation', 'outdoor skills')",Bachelor's in Environmental Science,3,Park Ranger
1233,"('judgment', 'problem solving', 'communication', 'confluence', 'physical fitness', 'law enforcement', 'app testing', 'safety', 'project management')",High School,2,Police Officer
1234,"('excel', 'financial analysis', 'tax knowledge', 'quickbooks', 'accounting principles', 'web accessibility', 'business development', 'gaap', 'typescript')",Bachelor's in Accounting,3,Accountant
1235,"('data analysis', 'django', 'process management', 'swift', 'leadership', 'compliance', 'problem solving', 'adobe creative suite', 'adaptability', 'kubernetes', 'hr systems')",Bachelor's in Business,6,HR Operations Manager
1236,"('valuation', 'app testing', 'risk analysis', 'jenkins', 'excel', 'python', 'financial modeling', 'statistics')",Bachelor's in Economics,2,Financial Analyst
1237,"('laboratory work', 'problem solving', 'data analysis', 'microbiology', 'swift', 'creativity', 'precision', 'kanban', 'research')",Master's in Microbiology,4,Microbiologist
1238,"('figma', 'quality control', 'equipment maintenance', 'safety', 'staff management', 'pandas', 'production planning', 'javascript', 'problem solving', 'jenkins')",Bachelor's in Engineering,5,Production Manager
1239,"('keyword research', 'technical seo', 'scrum', 'seo', 'content optimization', 'analytics', 'backlink strategy', 'angular', 'css')",SEO Certification,1,SEO Specialist
1240,"('confluence', 'procurement strategy', 'cost analysis', 'scrum', 'responsive design', 'vendor management', 'negotiation', 'compliance', 'aws', 'strategic sourcing', 'javascript')",Bachelor's in Business,3,Procurement Manager
1241,"('customer service', 'responsibility', 'tensorflow', 'driving', 'route knowledge', 'problem solving', 'mongodb', 'ruby', 'safety', 'css')",High School,2,Bus Driver
1242,"('equipment knowledge', 'technical skills', 'c#', 'precision', 'problem solving', 'sound design', 'data analysis', 'audio engineering')",Associate in Audio Engineering,2,Sound Engineer
1243,"('css', 'firewalls', 'security protocols', 'penetration testing', 'risk analysis', 'encryption', 'gcp', 'react', 'networking', 'tableau')",Bachelor's in Cybersecurity,6,Cybersecurity Specialist
1244,"('shell scripting', 'pub/sub', 'data structures', 'caching', 'teamwork', 'performance optimization', 'scalability', 'redis')",Bachelor's in Computer Science,2,Redis Developer
1245,"('data analysis', 'precision', 'gcp', 'laboratory work', 'documentation', 'microbiology', 'problem solving', 'research')",Master's in Microbiology,5,Microbiologist
1246,"('creativity', 'visual communication', 'java', 'branding', 'attention to detail', 'design software', 'html', 'adobe creative suite')",Design Certification,1,Graphic Designer
1247,"('vision', 'business development', 'communication', 'django', 'database design', 'strategic leadership', 'decision making', 'department management')",MBA,10,Vice President
1248,"('organization', 'communication', 'tensorflow', 'documentation', 'terraform', 'technical writing', 'api documentation', 'problem solving', 'data analysis')",Technical Writing Certification,4,Technical Writer
1249,"('python', 'smart contracts', 'java', 'angular', 'prototyping', 'swift', 'problem solving', 'blockchain technology', 'database design', 'cryptocurrency', 'solidity')",Bachelor's in Computer Science,3,Blockchain Developer
1250,"('enterprise architecture', 'leadership', 'vision', 'prototyping', 'technical expertise', 'strategic design', 'swift', 'communication', 'tensorflow', 'kanban')",Master's in Computer Science,9,Enterprise Architect
1251,"('patent law', 'technical knowledge', 'research', 'perl', 'communication', 'seo', 'tensorflow', 'figma', 'graphic design', 'writing', 'legal expertise')",Patent Bar License,6,Patent Attorney
1252,"('tensorflow', 'precision', 'safety', 'kanban', 'negotiation', 'technical knowledge', 'welding', 'react', 'physical stamina', 'problem solving')",Welding Certification,4,Welder
1253,"('equipment operation', 'safety', 'sustainability', 'business management', 'problem solving', 'numpy', 'farming', 'technical writing', 'postgresql', 'time management')",High School,3,Farmer
1254,"('java', 'sales', 'architecture patterns', 'microservices', 'scalability', 'system design', 'swift', 'leadership', 'project management', 'adobe creative suite', 'multiple languages')",Master's in Computer Science,6,Software Architect
1255,"('critical thinking', 'research', 'tensorflow', 'serverless', 'counseling', 'empathy', 'vue.js', 'patient communication', 'c#', 'psychological assessment')",Master's or PhD in Psychology,3,Psychologist
1256,"('equipment knowledge', 'kotlin', 'technical skills', 'audio engineering', 'precision', 'kubernetes', 'sound design', 'problem solving')",Associate in Audio Engineering,1,Sound Engineer
1257,"('distributed computing', 'big data', 'wireframing', 'python', 'rest api', 'statistics', 'apache spark', 'encryption', 'scala', 'aws', 'sql')",Bachelor's in Computer Science,1,Spark Developer
1258,"('pandas', 'scripting', 'kubernetes', 'ci/cd', 'linux', 'docker', 'aws', 'scrum', 'microservices', 'node.js')",Bachelor's in Computer Science,6,DevOps Engineer
1259,"('problem solving', 'budget control', 'jupyter', 'statistics', 'leadership', 'prototyping', 'encryption', 'communication', 'oracle', 'project management', 'it knowledge')",Project Management Certification,4,IT Project Manager
1260,"('php', 'leadership', 'scientific knowledge', 'safety', 'equipment maintenance', 'react', 'quality control', 'laboratory management')",Bachelor's in Laboratory Science,2,Laboratory Manager
1261,"('troubleshooting', 'html/css', 'docker', 'website management', 'cms', 'market research', 'database management', 'prototyping', 'project management', 'server administration')",Bachelor's in IT,4,Website Administrator
1262,"('design', 'matlab', 'jenkins', 'cad', 'structural analysis', 'compliance', 'aerodynamics', 'physics', 'decision making')",Bachelor's in Aerospace Engineering,1,Aerospace Engineer
1263,"('quick thinking', 'public speaking', 'technical writing', 'communication', 'pronunciation', 'angular', 'professionalism', 'voice skills')",Broadcasting,1,Announcer
1264,"('c#', 'communication', 'problem solving', 'serverless', 'attention to detail', 'crane operation', 'precision', 'safety')",High School,2,Crane Operator
1265,"('data integration', 'communication', 'data quality', 'talend', 'java', 'etl', 'swift', 'sql')",Bachelor's in IT,3,Talend Developer
1266,"('security protocols', 'graphql', 'dashboard development', 'analytics', 'machine learning', 'looker', 'sql', 'data visualization', 'lookml', 'documentation')",Bachelor's in IT,3,Looker Developer
1267,"('compliance', 'devops', 'container security', 'agile', 'negotiation', 'linux', 'security', 'ci/cd', 'mobile ui/ux')",Security Certification,6,DevSecOps Engineer
1268,"('problem solving', 'attention to detail', 'patience', 'customer service', 'documentation', 'product knowledge', 'communication', 'c#', 'graphic design', 'mobile ui/ux', 'web accessibility')",Customer Service Certification,0,Customer Service Representative
1269,"('problem solving', 'project management', 'rust', 'change control', 'c++', 'communication', 'release management', 'documentation', 'database design', 'teamwork')",Bachelor's in IT,6,Release Manager
1270,"('technical knowledge', 'problem solving', 'angular', 'safety', 'seo', 'plumbing systems', 'code knowledge', 'nosql', 'strategic planning', 'customer service')",Trade School,4,Plumber
1271,"('go', 'creativity', 'research', 'attention to detail', 'database design', 'writing', 'storytelling', 'communication')",Bachelor's in Creative Writing,2,Writer
1272,"('technical knowledge', 'documentation', 'negotiation', 'project management', 'communication', 'problem solving', 'coordination', 'jenkins')",Bachelor's in Engineering,2,Project Engineer
1273,"('creativity', 'confluence', 'technical skills', 'editing', 'lighting', 'encryption', 'rest api', 'storytelling', 'video shooting', 'adobe creative suite')",Certification,1,Videographer
1274,"('decision making', 'scala', 'office management', 'organization', 'administrative skills', 'leadership', 'communication', 'problem solving')",High School,4,Office Manager
1275,"('flutter', 'leadership', 'process management', 'compliance', 'hr systems', 'data analysis', 'documentation', 'problem solving')",Bachelor's in HR,5,HR Operations Manager
1276,"('p&l management', 'vue.js', 'html', 'javascript', 'go', 'api integration', 'risk assessment', 'flutter', 'css', 'vuex', 'business development')",Bachelor's in Computer Science,3,Vue Developer
1277,"('statistics', 'business development', 'valuation', 'redis', 'penetration testing', 'deep learning', 'python', 'excel', 'android', 'financial modeling', 'risk analysis')",Bachelor's in Finance,2,Financial Analyst
1278,"('data analysis', 'communication', 'ruby', 'business analysis', 'process improvement', 'project management', 'problem solving', 'perl', 'figma')",MBA,2,Business Consultant
1279,"('prototyping', 'technical skills', 'hand tools', 'safety', 'problem solving', 'azure', 'carpentry', 'precision', 'jira')",Apprenticeship,4,Carpenter
1280,"('system administration', 'security architecture', 'bash', 'postgresql', 'flutter', 'automation', 'scrum', 'shell scripting', 'problem solving', 'machine learning', 'linux')",Bachelor's in Computer Science,0,Shell Script Developer
1281,"('safety', 'equipment operation', 'precision', 'jira', 'problem solving', 'html', 'attention to detail', 'ci/cd', 'nosql', 'communication')",Equipment License,2,Heavy Equipment Operator
1282,"('go', 'design software', 'critical thinking', 'adobe creative suite', 'visual communication', 'creativity', 'sql', 'branding', 'attention to detail', 'php')",Bachelor's in Graphic Design,0,Graphic Designer
1283,"('mentoring', 'communication', 'web design', 'risk assessment', 'leadership', 'prototyping', 'power bi', 'problem solving', 'regulatory knowledge', 'safety management')",Bachelor's in Safety Engineering,2,Safety Engineer
1284,"('animation software', 'technical skills', 'postgresql', 'timing', 'react', 'creativity', 'drawing', 'marketing', 'storytelling', 'scikit-learn', 'financial analysis')",Animation Certification,1,Animator
1285,"('patient communication', 'market research', 'medical knowledge', 'react native', 'psychiatric diagnosis', 'angular', 'sales', 'problem solving', 'financial analysis', 'treatment planning', 'empathy')",License,6,Psychiatrist
1286,"('teamwork', 'memory', 'customer service', 'communication', 'data analysis', 'project management', 'mongodb', 'organization', 'problem solving')",High School,3,Server
1287,"('market research', 'rest api', 'problem solving', 'haskell', 'functional programming', 'concurrency', 'lambda calculus', 'ios', 'type system')",Bachelor's in Computer Science,5,Haskell Developer
1288,"('organization', 'research', 'technology', 'mobile ui/ux', 'tableau', 'communication', 'information management', 'customer service', 'web accessibility')",Master's in Library Science,4,Librarian
1289,"('first aid', 'athletic training', 'sports knowledge', 'problem solving', 'shell scripting', 'penetration testing', 'communication', 'empathy', 'c#')",Bachelor's in Athletic Training,0,Athletic Trainer
1290,"('leadership', 'negotiation', 'deep learning', 'business development', 'clojure', 'functional programming', 'java interop', 'problem solving', 'concurrency', 'lispyscript')",Bachelor's in Computer Science,4,Clojure Developer
1291,"('strategic thinking', 'project management', 'communication', 'problem solving', 'numpy', 'business analysis', 'machine learning', 'research', 'adobe creative suite', 'adaptability')",MBA,5,Management Consultant
1292,"('c#', 'azure', 'linq', 'postgresql', 'api development', 'sql', 'agile', '.net framework', 'machine learning')",Bachelor's in Computer Science,0,C# Developer
1293,"('database design', 'deep learning', 'sql', 'visualization', 'sas', 'problem solving', 'data management', 'statistical analysis')",Bachelor's in Statistics,4,SAS Programmer
1294,"('communication', 'technical writing', 'leadership', 'security protocols', 'department management', 'decision making', 'strategic planning', 'budget control')",Bachelor's in Business,7,Director
1295,"('valuation', 'security architecture', 'excel', 'negotiation', 'financial modeling', 'statistics', 'python', 'risk analysis')",Bachelor's in Finance,1,Financial Analyst
1296,"('responsive design', 'accounting principles', 'excel', 'gaap', 'tax knowledge', 'react', 'quickbooks', 'financial analysis')",CPA or equivalent,2,Accountant
1297,"('c/c++', 'compliance', 'web accessibility', 'hardware', 'real-time systems', 'presentation skills', 'microcontrollers', 'low-level programming', 'embedded linux')",Bachelor's in Electronics Engineering,5,Embedded Systems Engineer
1298,"('communication', 'firewalls', 'regulatory knowledge', 'scikit-learn', 'leadership', 'safety management', 'machine learning', 'problem solving', 'risk assessment')",Safety Certification,5,Safety Engineer
1299,"('cash handling', 'ruby', 'mentoring', 'angular', 'sales management', 'problem solving', 'staff leadership', 'customer service', 'graphql', 'python', 'inventory control')",Associate in Business,4,Retail Manager
1300,"('empathy', 'r', 'communication', 'treatment planning', 'problem solving', 'counseling', 'negotiation', 'app testing', 'query optimization', 'adobe creative suite', 'active listening')",Licensing Credentials,2,Counselor
1301,"('security protocols', 'problem solving', 'presentation skills', 'fundraising knowledge', 'grant writing', 'marketing', 'research', 'organization', 'communication', 'jira', 'c++')",Bachelor's in Writing,3,Grant Writer
1302,"('attention to detail', 'power bi', 'communication', 'research', 'storytelling', 'writing', 'kotlin', 'seo', 'creativity')",Bachelor's in Creative Writing,1,Writer
1303,"('php', 'critical thinking', 'theme development', 'mentoring', 'cms', 'javascript', 'mysql', 'joomla')",Bachelor's in Computer Science,2,Joomla Developer
1304,"('business acumen', 'concurrency', 'functional programming', 'lispyscript', 'encryption', 'problem solving', 'java', 'network security', 'sales', 'java interop', 'clojure')",Bachelor's in Computer Science,4,Clojure Developer
1305,"('communication', 'auditing', 'statistics', 'security architecture', 'c++', 'kotlin', 'compliance', 'documentation', 'risk management', 'creativity', 'regulations')",Bachelor's in Business,5,Compliance Officer
1306,"('docker', 'sql', 'oracle', 'data quality', 'problem solving', 'communication', 'etl tools', 'data integration', 'performance')",Bachelor's in IT,5,ETL Developer
1307,"('budget control', 'rest api', 'compliance', 'project management', 'contractor management', 'construction knowledge', 'safety', 'redis', 'pandas')",Bachelor's in Construction Management,6,Construction Manager
1308,"('technical expertise', 'numpy', 'problem solving', 'system design', 'communication', 'budget management', 'project management', 'it knowledge')",IT Certification,2,IT Consultant
1309,"('scikit-learn', 'python', 'deep learning', 'research', 'java', 'tableau', 'postgresql', 'flask', 'pytorch', 'tensorflow', 'statistics')",Master's in Computer Science,4,Machine Learning Engineer
